geo_description,label,year,description,estimate,moe,se,cv
North Carolina,HD01_VD04,2014,Estimate; Quintile Upper Limits: - Third Quintile,58159,682.72,348.33,0.6
"Durham County, NC",HD01_VD04,2014,Estimate; Quintile Upper Limits: - Third Quintile,62585,3207.49,1636.47,2.61
"Forsyth County, NC",HD01_VD04,2014,Estimate; Quintile Upper Limits: - Third Quintile,57051,2746.38,1401.21,2.46
"Guilford County, NC",HD01_VD04,2014,Estimate; Quintile Upper Limits: - Third Quintile,55950,2037.45,1039.52,1.86
United States,HD01_VD05,2014,Estimate; Quintile Upper Limits: - Fourth Quintile,109108,203.74,103.95,0.1
North Carolina,HD01_VD05,2014,Estimate; Quintile Upper Limits: - Fourth Quintile,93418,1060.43,541.04,0.58
"Durham County, NC",HD01_VD05,2014,Estimate; Quintile Upper Limits: - Fourth Quintile,103865,7384.85,3767.78,3.63
"Forsyth County, NC",HD01_VD05,2014,Estimate; Quintile Upper Limits: - Fourth Quintile,91502,4115.4,2099.69,2.29
"Guilford County, NC",HD01_VD05,2014,Estimate; Quintile Upper Limits: - Fourth Quintile,92256,3618.55,1846.2,2
United States,HD01_VD06,2014,Estimate; Lower Limit of Top 5 Percent,203671,421.79,215.2,0.11
North Carolina,HD01_VD06,2014,Estimate; Lower Limit of Top 5 Percent,173969,2429.45,1239.52,0.71
"Durham County, NC",HD01_VD06,2014,Estimate; Lower Limit of Top 5 Percent,189993,28357.45,14468.09,7.62
"Forsyth County, NC",HD01_VD06,2014,Estimate; Lower Limit of Top 5 Percent,166984,15099.74,7703.95,4.61
"Guilford County, NC",HD01_VD06,2014,Estimate; Lower Limit of Top 5 Percent,172245,10663.83,5440.73,3.16
United States,HD01_VD02,2015,Estimate; Quintile Upper Limits: - Lowest Quintile,22824,72.68,37.08,0.16
North Carolina,HD01_VD02,2015,Estimate; Quintile Upper Limits: - Lowest Quintile,20399,297.87,151.97,0.74
"Durham County, NC",HD01_VD02,2015,Estimate; Quintile Upper Limits: - Lowest Quintile,21477,2744,1400,6.52
"Forsyth County, NC",HD01_VD02,2015,Estimate; Quintile Upper Limits: - Lowest Quintile,20070,1552.51,792.1,3.95
"Guilford County, NC",HD01_VD02,2015,Estimate; Quintile Upper Limits: - Lowest Quintile,21426,1372.6,700.31,3.27
United States,HD01_VD03,2015,Estimate; Quintile Upper Limits: - Second Quintile,43576,119.15,60.79,0.14
North Carolina,HD01_VD03,2015,Estimate; Quintile Upper Limits: - Second Quintile,37496,512.34,261.4,0.7
"Durham County, NC",HD01_VD03,2015,Estimate; Quintile Upper Limits: - Second Quintile,42054,2682.04,1368.39,3.25
"Forsyth County, NC",HD01_VD03,2015,Estimate; Quintile Upper Limits: - Second Quintile,35987,2434.21,1241.94,3.45
